"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","11","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","9","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Rank of leading causes of death","Number","223","units","0","v41341111","1.1.1.36.1","10","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","2676","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","2671","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","2860","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","2883","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","2959","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3132","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3182","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3401","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3472","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3579","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","3716","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","4221","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","4677","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","4716","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","4386","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Chronic liver disease and cirrhosis [K70, K73-K74]","Number of deaths","Number","223","units","0","v41341112","1.1.1.36.2","4609","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","25","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","25","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","25","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","25","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","23","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","24","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","25","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","22","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","23","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","21","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Rank of leading causes of death","Number","223","units","0","v41341113","1.1.1.37.1","21","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","410","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","380","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","385","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","423","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","445","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Cholelithiasis and other disorders of gallbladder [K80-K82]","Number of deaths","Number","223","units","0","v41341114","1.1.1.37.2","424","","","","0"
